영화제목,유통회사명,개봉일,총스크린수,관람인원수,장르,등급,네이버_평점,구글_평점,씨네21_평점,개봉년도,개봉월
드래곤볼 슈퍼: 슈퍼 히어로,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2022-09-01,360.0,260.0,애니메이션,12세이상관람가,8.49,4.2,,2022,9
인생은 뷰티풀: 비타돌체,"씨제이 씨지브이(CJ CGV)(주),씨제이포디플렉스 주식회사",2022-09-01,107.0,223.0,다큐멘터리,전체관람가,9.73,,,2022,9
아라시 20주년 투어 콘서트 5✕20,찬란,2022-08-01,18.0,193.0,공연,전체관람가,,,,2022,8
햄릿,(주) 인스터 글로벌,2022-10-01,6.0,191.0,공연,12세이상관람가,9.16,4.2,7.0,2022,10
포프란: 사라진 X를 찾아서,(주)이놀미디어,2022-10-01,17.0,184.0,코미디,15세이상관람가,6.14,,5.0,2022,10
기기묘묘,필름다빈,2022-09-01,25.0,179.0,공포(호러),15세이상관람가,5.52,,6.4,2022,9
홈리스,그린나래미디어(주),2022-09-01,86.0,177.0,드라마,12세이상관람가,7.17,,6.0,2022,9
쥬라기캅스 극장판: 공룡시대 대모험,플러스엠 엔터테인먼트,2022-09-01,453.0,143.0,애니메이션,전체관람가,6.78,,,2022,9
라이어×라이어,(주)미디어캐슬,2022-10-01,5.0,137.0,멜로/로맨스,12세이상관람가,,4.5,7.16,2022,10
썬더버드,(주)트리플픽쳐스,2022-09-01,99.0,137.0,드라마,15세이상관람가,6.67,,4.33,2022,9
로보카폴리 안전교실 교통편,(주)로이비쥬얼,2022-09-01,16.0,130.0,애니메이션,전체관람가,,,,2022,9
녹턴,(주)시네마달,2022-08-01,54.0,123.0,다큐멘터리,12세이상관람가,9.65,,6.5,2022,8
말아,㈜인디스토리,2022-08-01,33.0,118.0,드라마,12세이상관람가,7.4,,6.0,2022,8
인간실격,(주)미디어캐슬,2022-10-01,5.0,118.0,애니메이션,15세이상관람가,,4.8,6.5,2022,10
람메르무어의 루치아,(주) 인스터 글로벌,2022-09-01,6.0,115.0,공연,15세이상관람가,5.0,,,2022,9
DC 리그 오브 슈퍼-펫,워너브러더스 코리아(주),2022-08-01,585.0,105.0,애니메이션,전체관람가,7.42,3.8,7.0,2022,8
뽀로로 극장판 드래곤캐슬 대모험,(주)넥스트엔터테인먼트월드(NEW),2022-07-01,748.0,103.0,애니메이션,전체관람가,8.85,,6.0,2022,7
썬다운,M&M 인터내셔널,2022-08-01,45.0,70.0,미스터리,15세이상관람가,,2.9,6.33,2022,8
암스테르담 바이스,(주)씨네마블랙,2022-09-01,5.0,60.0,액션,15세이상관람가,0.0,,,2022,9
작은새와 돼지씨,필름다빈,2022-08-01,9.0,58.0,다큐멘터리,전체관람가,8.71,,5.67,2022,8
풀타임,주식회사 슈아픽처스,2022-08-01,59.0,55.0,드라마,전체관람가,8.1,4.2,7.33,2022,8
기도의 숨결,(주)영화사 진진,2022-08-01,14.0,52.0,다큐멘터리,전체관람가,7.2,,6.0,2022,8
큐어,M&M 인터내셔널,2022-07-01,55.0,52.0,공포(호러),15세관람가,8.66,4.1,9.0,2022,7
룸 쉐어링,"주식회사 엔픽플,트윈플러스파트너스(주)",2022-06-01,122.0,40.0,드라마,전체관람가,6.33,,6.0,2022,6
당신의 이웃은 친절하지 않다,주식회사 씨엠닉스,2022-09-01,10.0,38.0,미스터리,15세이상관람가,7.45,,,2022,9
엘비스,워너브러더스 코리아(주),2022-07-01,665.0,36.0,드라마,15세이상관람가,8.75,4.4,6.33,2022,7
카고,와이드 릴리즈(주),2022-09-01,217.0,33.0,애니메이션,전체관람가,8.41,,4.17,2022,9
블레이즈,주식회사 더쿱,2022-09-01,5.0,28.0,멜로/로맨스,15세이상관람가,8.38,,7.0,2022,9
우리가 말하지 않은 것,(주)디오시네마,2022-09-01,31.0,19.0,드라마,15세이상관람가,7.29,,5.5,2022,9
뱅크시,(주)마노엔터테인먼트,2022-08-01,35.0,13.0,다큐멘터리,전체관람가,7.0,,4.0,2022,8
오마주,트윈플러스파트너스(주),2022-05-01,133.0,12.0,드라마,12세이상관람가,7.93,,7.33,2022,5
경아의 딸,㈜인디스토리,2022-06-01,54.0,11.0,드라마,15세이상관람가,8.08,,6.0,2022,6
멋진 세계,(주)엣나인필름,2022-08-01,47.0,11.0,드라마,15세이상관람가,8.06,,6.8,2022,8
소설가의 영화,"(주)영화제작전원사 ,(주)콘텐츠판다",2022-04-01,66.0,5.0,드라마,12세이상관람가,7.69,,8.0,2022,4
인플루엔자,아이 엠,2022-08-01,15.0,5.0,드라마,15세이상관람가,6.7,,6.0,2022,8
내가 못 나가는 것도 아닌데,김충길 필름,2022-08-01,5.0,4.0,드라마,12세이상관람가,,,,2022,8
바다 탐험대 옥토넛 : 탐험선 대작전,와이드 릴리즈(주),2022-08-01,241.0,3.0,애니메이션,전체관람가,3.29,,,2022,8
큐브,(주)디스테이션,2022-08-01,51.0,3.0,스릴러,15세이상관람가,5.51,3.9,8.0,2022,8
코코순이,커넥트픽쳐스(주),2022-08-01,50.0,2.0,다큐멘터리,전체관람가,9.64,,6.5,2022,8
블랙 팬서: 와칸다 포에버,월트디즈니컴퍼니코리아 유한책임회사,2022-11-01,,,액션,12세이상관람가,6.98,3.7,6.4,2022,11
올빼미,(주)넥스트엔터테인먼트월드(NEW),2022-11-01,,,스릴러,15세이상관람가,,,6.5,2022,11
데시벨,(주)마인드마크,2022-11-01,,,액션,12세이상관람가,6.75,4.7,4.25,2022,11
동감,씨제이 씨지브이(CJ CGV)(주),2022-11-01,,,멜로/로맨스,12세이상관람가,6.53,4.6,7.52,2022,11
자백,롯데컬처웍스(주)롯데엔터테인먼트,2022-10-01,,,범죄,15세이상관람가,8.1,,7.67,2022,10
에브리씽 에브리웨어 올 앳 원스,워터홀컴퍼니(주),2022-10-01,620.0,,액션,15세이상관람가,8.8,3.8,8.43,2022,10
리멤버,(주)에이스메이커무비웍스,2022-10-01,,,드라마,15세이상관람가,7.81,,6.0,2022,10
극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,(주)씨제이이엔엠,2022-09-01,873.0,,애니메이션,전체관람가,8.81,4.8,7.5,2022,9
블랙 아담,워너브러더스 코리아(주),2022-10-01,,,액션,12세이상관람가,7.55,4.2,5.67,2022,10
압꾸정,(주)쇼박스,2022-11-01,,,코미디,12세이상관람가,5.88,,4.33,2022,11
인생은 아름다워,롯데컬처웍스(주)롯데엔터테인먼트,2022-09-01,,,뮤지컬,12세이상관람가,9.54,,8.4,2022,9
폴: 600미터,(주)스튜디오디에이치엘,2022-11-01,463.0,,스릴러,12세이상관람가,7.96,4.0,5.5,2022,11
스트레인지 월드,월트디즈니컴퍼니코리아 유한책임회사,2022-11-01,699.0,,애니메이션,전체관람가,,2.5,5.5,2022,11
원피스 필름 레드,(주)넥스트엔터테인먼트월드(NEW),2022-11-01,550.0,,애니메이션,12세이상관람가,6.86,4.0,6.0,2022,11
탄생,"씨제이 씨지브이(CJ CGV)(주),(주)레드아이스 엔터테인먼트",2022-11-01,670.0,,드라마,12세이상관람가,8.15,,6.56,2022,11
아인보: 아마존의 전설,(주)디스테이션,2022-10-01,401.0,,애니메이션,전체관람가,8.5,3.3,7.0,2022,10
공조2: 인터내셔날,(주)씨제이이엔엠,2022-09-01,,,액션,15세이상관람가,7.92,4.7,5.33,2022,9
고속도로 가족,씨제이 씨지브이(CJ CGV)(주),2022-11-01,222.0,,드라마,15세이상관람가,7.71,,5.0,2022,11
엔시티 드림 더 무비 : 인 어 드림,씨제이포디플렉스 주식회사,2022-11-01,103.0,,다큐멘터리,전체관람가,9.47,,,2022,11
유포자들,와이드 릴리즈(주),2022-11-01,123.0,,범죄,15세이상관람가,7.4,,4.0,2022,11
극장판 소드 아트 온라인 -프로그레시브- 짙은 어둠의 스케르초,(주)애니플러스,2022-11-01,89.0,,애니메이션,12세이상관람가,7.62,,,2022,11
한산 리덕스,롯데컬처웍스(주)롯데엔터테인먼트,2022-11-01,202.0,,액션,12세이상관람가,8.73,4.6,,2022,11
양자경의 더 모든 날 모든 순간,워터홀컴퍼니(주),2022-11-01,63.0,,액션,15세이상관람가,9.13,3.8,,2022,11
가재가 노래하는 곳,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2022-11-01,264.0,,드라마,15세이상관람가,8.25,4.7,5.0,2022,11
본즈 앤 올,워너브러더스 코리아(주),2022-11-01,356.0,,공포(호러),청소년관람불가,8.02,3.4,8.2,2022,11
걸리버 리턴즈,(주)박수엔터테인먼트,2022-11-01,206.0,,애니메이션,전체관람가,3.93,,,2022,11
"오늘 밤, 세계에서 이 사랑이 사라진다 해도","(주)바이포엠스튜디오,홀리가든",2022-11-01,258.0,,멜로/로맨스,12세이상관람가,7.94,4.9,5.33,2022,11
프로메어,(주)영화사 그램,2022-10-01,63.0,,애니메이션,15세이상관람가,8.61,4.7,6.0,2022,10
미시즈 해리스 파리에 가다,유니버설픽쳐스인터내셔널 코리아(유),2022-11-01,144.0,,드라마,12세이상관람가,8.11,4.5,8.0,2022,11
심야카페: 미씽 허니,(주)영화특별시에스엠씨,2022-11-01,174.0,,멜로/로맨스,12세이상관람가,5.66,,4.0,2022,11
내 친한 친구의 아침식사,(주)팝엔터테인먼트,2022-11-01,140.0,,멜로/로맨스,12세이상관람가,6.58,,4.5,2022,11
정직한 후보2,(주)넥스트엔터테인먼트월드(NEW),2022-09-01,,,코미디,12세이상관람가,6.92,,5.83,2022,9
아마겟돈 타임,유니버설픽쳐스인터내셔널 코리아(유),2022-11-01,186.0,,드라마,12세이상관람가,7.62,3.2,7.57,2022,11
같은 속옷을 입는 두 여자,찬란,2022-11-01,53.0,,드라마,15세이상관람가,7.93,,8.0,2022,11
극장판 유루캠△,(주)애니플러스,2022-10-01,84.0,,애니메이션,전체관람가,8.47,,,2022,10
창밖은 겨울,(주)영화사 진진,2022-11-01,55.0,,드라마,12세이상관람가,8.07,,6.8,2022,11
놈이 우리 안에 있다,(주)영화사오원,2022-11-01,91.0,,미스터리,15세이상관람가,6.13,3.5,4.5,2022,11
세이레,트윈플러스파트너스(주),2022-11-01,70.0,,드라마,15세이상관람가,7.07,,6.67,2022,11
탑,"(주)영화제작전원사 ,(주)콘텐츠판다",2022-11-01,57.0,,드라마,15세이상관람가,,,8.5,2022,11
기예르모 델토로의 피노키오,씨제이 씨지브이(CJ CGV)(주),2022-11-01,57.0,,애니메이션,전체관람가,8.13,4.7,7.33,2022,11
오펀: 천사의 탄생,메가박스중앙(주),2022-10-01,707.0,,공포(호러),15세이상관람가,6.77,3.2,5.0,2022,10
알카라스의 여름,(주)영화사 진진,2022-11-01,44.0,,드라마,12세이상관람가,7.48,2.9,6.86,2022,11
킹덤2: 아득한 대지로,"(주)이놀미디어,(주)플레이그램",2022-11-01,112.0,,액션,15세이상관람가,7.52,,6.0,2022,11
옆집사람,(주)디스테이션,2022-11-01,72.0,,스릴러,15세이상관람가,6.86,,6.67,2022,11
헤어질 결심,(주)씨제이이엔엠,2022-06-01,,,미스터리,15세이상관람가,8.98,3.9,8.73,2022,6
바커스: 고양이를 조심해!,"와이드 릴리즈(주),(주)태양미디어그룹",2022-10-01,181.0,,애니메이션,전체관람가,10.0,,,2022,10
첫번째 아이,(주)더쿱디스트리뷰션,2022-11-01,59.0,,드라마,12세이상관람가,8.89,,5.5,2022,11
수프와 이데올로기,(주)엣나인필름,2022-10-01,45.0,,다큐멘터리,12세이상관람가,8.88,,6.33,2022,10
살인청부업자,(주)피터팬픽쳐스,2022-11-01,50.0,,범죄,청소년관람불가,5.66,,2.0,2022,11
육사오(6/45),"(주)홈초이스,(주)싸이더스",2022-08-01,,,코미디,12세이상관람가,8.05,,6.0,2022,8
캐릭터,트윈플러스파트너스(주),2022-10-01,126.0,,스릴러,15세이상관람가,7.45,4.6,8.0,2022,10
명탐정 코난: 할로윈의 신부,(주)씨제이이엔엠,2022-07-01,758.0,,애니메이션,12세이상관람가,8.93,,7.0,2022,7
그녀가 말했다,유니버설픽쳐스인터내셔널 코리아(유),2022-11-01,88.0,,드라마,15세이상관람가,8.38,4.1,7.5,2022,11
너와 사랑한 시간,오드,2022-11-01,92.0,,멜로/로맨스,12세이상관람가,8.0,,4.0,2022,11
블로우백,(주)블루라벨픽쳐스,2022-11-01,50.0,,액션,15세이상관람가,7.12,,4.0,2022,11
피가로~피가로~피가로,(주)트리플픽쳐스,2022-11-01,28.0,,코미디,12세이상관람가,8.24,4.4,6.0,2022,11
극장판 헬로카봇: 수상한 마술단의 비밀,롯데컬처웍스(주)롯데엔터테인먼트,2022-09-01,790.0,,애니메이션,전체관람가,8.31,,,2022,9
초선,커넥트픽쳐스(주),2022-11-01,41.0,,다큐멘터리,12세이상관람가,8.67,,8.0,2022,11
파이어버드,그린나래미디어(주),2022-11-01,38.0,,멜로/로맨스,15세이상관람가,7.28,4.8,6.25,2022,11
내추럴 바이스,(주)로드하우스,2022-11-01,49.0,,범죄,청소년관람불가,4.33,,,2022,11
한산: 용의 출현,롯데컬처웍스(주)롯데엔터테인먼트,2022-07-01,,,액션,12세이상관람가,8.53,4.6,6.8,2022,7
대무가,"판씨네마(주),(주)케이티알파",2022-10-01,587.0,,드라마,15세이상관람가,6.72,,5.5,2022,10
리미트,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹",2022-08-01,687.0,,범죄,15세이상관람가,6.29,,3.5,2022,8
"바르도, 약간의 진실을 섞은 거짓된 연대기",씨제이 씨지브이(CJ CGV)(주),2022-11-01,24.0,,드라마,15세이상관람가,6.88,3.9,5.0,2022,11
트랜스,(주)마노엔터테인먼트,2022-11-01,29.0,,SF,15세이상관람가,7.75,,6.0,2022,11
죽어도 자이언츠,롯데컬처웍스(주)롯데엔터테인먼트,2022-10-01,69.0,,다큐멘터리,12세이상관람가,8.0,,6.0,2022,10
분노의 추격자,와이드 릴리즈(주),2022-11-01,85.0,,액션,15세이상관람가,4.76,3.0,3.5,2022,11
블랙 사이트,"주식회사 블루필름웍스,(주)버킷스튜디오",2022-11-01,96.0,,액션,15세이상관람가,5.0,2.1,4.0,2022,11
티켓 투 파라다이스,유니버설픽쳐스인터내셔널 코리아(유),2022-10-01,581.0,,멜로/로맨스,12세이상관람가,7.75,3.2,6.0,2022,10
머슴바울,"(주)드림팩트엔터테인먼트,기독교대한감리회",2022-11-01,23.0,,사극,전체관람가,7.5,,,2022,11
에브리띵 윌 체인지,(주)영화사 안다미로,2022-11-01,15.0,,SF,12세이상관람가,7.75,,5.5,2022,11
뮤지컬 <미아 파밀리아>,주식회사 홍컴퍼니,2022-11-01,10.0,,뮤지컬,12세이상관람가,,,,2022,11
고고다이노 극장판: 얼음공룡의 비밀,"(주)넥스트엔터테인먼트월드(NEW),(주)블루라벨픽쳐스",2022-10-01,531.0,,애니메이션,전체관람가,7.75,,,2022,10
극장판 검정고무신 : 즐거운 나의 집,"(주)대교 미디어콘텐츠사업본부,(주)블루라벨픽쳐스",2022-10-01,232.0,,애니메이션,전체관람가,9.38,,6.0,2022,10
"그 겨울, 나는",(주)더쿱디스트리뷰션,2022-11-01,27.0,,멜로/로맨스,15세이상관람가,8.08,,6.67,2022,11
니얼굴,(주)영화사 진진,2022-06-01,65.0,,다큐멘터리,전체관람가,8.83,,7.5,2022,6
EBS친구들 씽씽 댄스파티,(주)에픽캔,2022-09-01,1.0,,가족,전체관람가,,,,2022,9
스타게이저: 아스트로스코프,CGV ICECON,2022-10-01,31.0,,공연,전체관람가,10.0,,,2022,10
스마일,롯데컬처웍스(주)롯데엔터테인먼트,2022-10-01,455.0,,미스터리,청소년관람불가,7.75,3.6,5.0,2022,10
로보카폴리 안전교실 교통편,(주)로이비쥬얼,2022-09-01,16.0,,애니메이션,전체관람가,,,,2022,9
우수,㈜인디스토리,2022-11-01,19.0,,드라마,12세이상관람가,7.0,,6.6,2022,11
불릿 트레인,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2022-08-01,904.0,981.0,액션,청소년관람불가,6.94,3.9,5.5,2022,8
탑건: 매버릭,롯데컬처웍스(주)롯데엔터테인먼트,2022-06-01,,929.0,액션,12세이상관람가,,4.8,8.6,2022,6
헌트,플러스엠 엔터테인먼트,2022-08-01,,927.0,액션,15세이상관람가,8.44,4.3,6.0,2022,8
극장판 주술회전 0,(주)대교 미디어콘텐츠사업본부,2022-02-01,836.0,916.0,애니메이션,15세이상관람가,8.91,4.8,6.0,2022,2
낮에는 덥고 밤에는 춥고,필름다빈,2022-10-01,51.0,912.0,드라마,12세이상관람가,7.71,,7.33,2022,10
코다,판씨네마(주),2021-08-01,308.0,884.0,드라마,12세이상관람가,,4.8,6.33,2021,8
뿌까의 짜장면파티,(주)에픽캔,2022-07-01,11.0,862.0,기타,전체관람가,,,,2022,7
컴백홈,(주)제이앤씨미디어그룹,2022-10-01,603.0,845.0,드라마,15세이상관람가,5.67,,4.0,2022,10
사랑할 땐 누구나 최악이 된다,"그린나래미디어(주),(주)하이스트레인저",2022-08-01,68.0,795.0,멜로/로맨스,15세이상관람가,7.8,4.0,8.0,2022,8
4DX 문유,씨제이포디플렉스 주식회사,2022-10-01,10.0,790.0,기타,12세이상관람가,7.6,,,2022,10
미혹,"(주)엔케이컨텐츠,(주)디스테이션",2022-10-01,224.0,780.0,미스터리,15세이상관람가,6.35,,6.0,2022,10
놉,유니버설픽쳐스인터내셔널 코리아(유),2022-08-01,,726.0,미스터리,12세이상관람가,7.43,2.8,8.0,2022,8
신 에반게리온 극장판,(주)라이크콘텐츠,2022-10-01,93.0,673.0,애니메이션,15세이상관람가,7.63,4.7,7.5,2022,10
존 덴버 죽이기,(주)트리플픽쳐스,2022-11-01,22.0,661.0,드라마,12세이상관람가,6.67,,6.0,2022,11
통영에서의 하루,주식회사 블루필름웍스,2022-11-01,9.0,587.0,드라마,12세이상관람가,7.12,,6.0,2022,11
낮과 달,찬란,2022-10-01,52.0,571.0,드라마,15세이상관람가,7.33,,5.5,2022,10
귀못,와이드 릴리즈(주),2022-10-01,208.0,568.0,공포(호러),15세이상관람가,6.55,,5.0,2022,10
블랙폰,유니버설픽쳐스인터내셔널 코리아(유),2022-09-01,495.0,500.0,공포(호러),15세이상관람가,7.02,4.4,6.33,2022,9
극장판 엄마 까투리: 도시로 간 까투리 가족,(주)넥스트엔터테인먼트월드(NEW),2022-09-01,616.0,487.0,애니메이션,전체관람가,8.76,,5.0,2022,9
나를 죽여줘,(주)트리플픽쳐스,2022-10-01,112.0,475.0,드라마,15세이상관람가,8.21,,6.5,2022,10
애프터 미투,(주)영화사 그램,2022-10-01,71.0,465.0,다큐멘터리,15세이상관람가,5.52,,7.67,2022,10
극장판 이세계 콰르텟: 어나더 월드,워터홀컴퍼니(주),2022-10-01,50.0,406.0,애니메이션,12세이상관람가,7.9,,,2022,10
성덕,오드,2022-09-01,60.0,386.0,다큐멘터리,12세이상관람가,,,6.4,2022,9
영화감독 노동주,(주)드림팩트엔터테인먼트,2022-11-01,6.0,367.0,다큐멘터리,전체관람가,,,5.5,2022,11
창극 춘향,(주)이놀미디어,2022-11-01,11.0,316.0,공연,전체관람가,10.0,,,2022,11
헬 카운트,씨네라인월드(주),2022-11-01,4.0,299.0,공포(호러),15세이상관람가,6.4,3.3,,2022,11
선데이리그,아이 엠,2022-10-01,40.0,297.0,코미디,전체관람가,,,6.5,2022,10
태안,레드무비,2022-10-01,9.0,264.0,다큐멘터리,15세이상관람가,7.8,,6.5,2022,10
아나이스 인 러브,해피송,2022-10-01,39.0,249.0,멜로/로맨스,15세이상관람가,7.57,3.2,7.0,2022,10
디셉션,(주)드림팩트엔터테인먼트,2022-10-01,27.0,244.0,멜로/로맨스,15세이상관람가,,2.9,6.5,2022,10
픽션들,영화배급협동조합 씨네소파,2022-11-01,9.0,231.0,드라마,15세이상관람가,6.5,,5.0,2022,11
경아의 딸,㈜인디스토리,2022-06-01,54.0,226.0,드라마,15세이상관람가,8.08,,6.0,2022,6
성적표의 김민영,(주)엣나인필름,2022-09-01,48.0,223.0,드라마,전체관람가,8.39,,6.86,2022,9
미니언즈2,유니버설픽쳐스인터내셔널 코리아(유),2022-07-01,,215.0,애니메이션,전체관람가,7.85,4.5,5.0,2022,7
도그,씨제이 씨지브이(CJ CGV)(주),2022-10-01,49.0,205.0,코미디,12세이상관람가,7.13,4.2,6.0,2022,10
모자산책,하준사,2022-11-01,5.0,180.0,드라마,12세이상관람가,7.0,,,2022,11
9명의 번역가,(주)이놀미디어,2022-09-01,99.0,168.0,미스터리,15세이상관람가,7.54,4.4,5.0,2022,9
물방울을 그리는 남자,(주)영화사 진진,2022-09-01,47.0,152.0,다큐멘터리,전체관람가,8.52,,7.0,2022,9
아라시 20주년 투어 콘서트 5✕20,찬란,2022-08-01,18.0,146.0,공연,전체관람가,,,,2022,8
극장판 5등분의 신부,(주)애니플러스,2022-09-01,91.0,138.0,애니메이션,12세이상관람가,8.13,4.5,,2022,9
햄릿,(주) 인스터 글로벌,2022-10-01,6.0,135.0,공연,12세이상관람가,9.16,4.2,7.0,2022,10
거래완료,(주)스튜디오디에이치엘,2022-10-01,72.0,112.0,드라마,12세이상관람가,8.25,,6.6,2022,10
시맨틱 에러: 더 무비,주식회사 왓챠,2022-08-01,57.0,108.0,멜로/로맨스,12세이상관람가,8.83,,5.5,2022,8
인어; 바다를 부른 여인,(주)더존크리에이티브,2022-11-01,8.0,106.0,멜로/로맨스,15세이상관람가,8.43,,,2022,11
