영화제목,유통회사명,개봉일,총스크린수,관람인원수,장르,등급,네이버_평점,구글_평점,씨네21_평점,개봉년도,개봉월
피터 본 칸트,(주)드림팩트엔터테인먼트,20230215,29.0,167.0,멜로/로맨스,15세이상관람가,7.44,,7.0,2023,02
기예르모 델토로의 피노키오,씨제이 씨지브이(CJ CGV)(주),20221123,57.0,154.0,애니메이션,전체관람가,8.13,4.7,7.33,2022,11
이마 베프,(주)무비다이브,20230201,45.0,136.0,코미디,15세이상관람가,,,8.0,2023,02
양자경의 더 모든 날 모든 순간,워터홀컴퍼니(주),20221123,63.0,102.0,액션,15세이상관람가,9.13,3.8,,2022,11
트윈,(주)스튜디오디에이치엘,20230208,168.0,96.0,공포(호러),15세이상관람가,5.72,,4.67,2023,02
살수,"TCO(주)더콘텐츠온,와이드 릴리즈(주),(주)제이앤씨미디어그룹",20230222,188.0,94.0,액션,15세이상관람가,4.25,,4.33,2023,02
수프와 이데올로기,(주)엣나인필름,20221020,45.0,89.0,다큐멘터리,12세이상관람가,8.88,,6.33,2022,10
민족,주식회사 씨엠닉스,20230301,4.0,79.0,드라마,12세이상관람가,7.0,,6.0,2023,03
여기도 사람 있어요,김충길 필름,20230301,2.0,74.0,드라마,12세이상관람가,7.75,,,2023,03
메모리아,찬란,20221229,42.0,72.0,드라마,12세이상관람가,7.3,3.1,8.17,2022,12
궁지에 몰린 쥐는 치즈 꿈을 꾼다,홀리가든,20230208,66.0,70.0,드라마,청소년관람불가,6.63,,4.5,2023,02
스톰 보이,주식회사 블루필름웍스,20230216,44.0,69.0,가족,전체관람가,7.14,4.5,6.0,2023,02
본즈 앤 올,워너브러더스 코리아(주),20221130,356.0,68.0,공포(호러),청소년관람불가,8.02,3.4,8.2,2022,11
이태석,"THE 픽쳐스,주식회사 블루필름웍스",20221229,100.0,60.0,다큐멘터리,전체관람가,9.29,,4.0,2022,12
나의 이웃 히틀러,주식회사 루믹스미디어,20230330,5.0,52.0,코미디,12세이상관람가,9.04,,,2023,03
카메라를 멈추면 안 돼! 프랑스에서도,"(주)까멜리아이엔티,주식회사 제이씨엔터웍스",20230215,44.0,46.0,코미디,15세이상관람가,7.35,3.6,6.0,2023,02
무한궤도 (가면속의 거짓말),스마일픽쳐스,20230329,1.0,44.0,범죄,15세이상관람가,8.0,,,2023,03
나는 마을 방과후 교사입니다,(주)스튜디오그레인풀,20230111,23.0,42.0,다큐멘터리,전체관람가,8.81,,6.75,2023,01
천룡팔부: 교봉전,(주)팝엔터테인먼트,20230125,300.0,41.0,액션,15세이상관람가,7.25,3.7,5.0,2023,01
머슴바울,"(주)드림팩트엔터테인먼트,기독교대한감리회",20221124,23.0,29.0,사극,전체관람가,7.5,,,2022,11
"열여덟, 어른이 되는 나이",필름다빈,20230125,34.0,29.0,드라마,12세이상관람가,7.0,,5.33,2023,01
관계의 일변,주식회사 씨엠닉스,20230201,4.0,26.0,드라마,15세이상관람가,4.9,,,2023,02
극장판 카케구루이2: 절체절명의 러시안 룰렛,(주)미디어캐슬,20230216,5.0,20.0,스릴러,15세이상관람가,6.22,,,2023,02
극장판 뽀로로와 친구들: 바이러스를 없애줘!,(주)넥스트엔터테인먼트월드(NEW),20221201,380.0,18.0,애니메이션,전체관람가,8.43,,,2022,12
우리 사랑이 향기로 남을 때,"주식회사 콘텐츠존,(주)다자인소프트",20230208,173.0,18.0,멜로/로맨스,15세이상관람가,6.69,,4.0,2023,02
사랑할 땐 누구나 최악이 된다,"그린나래미디어(주),(주)하이스트레인저",20220825,68.0,17.0,멜로/로맨스,15세이상관람가,7.8,4.0,8.0,2022,08
시몬,(주)콘텐트마인,20230223,5.0,15.0,멜로/로맨스,청소년관람불가,,,5.75,2023,02
탑,"(주)영화제작전원사 ,(주)콘텐츠판다",20221103,57.0,15.0,드라마,15세이상관람가,,,8.5,2022,11
가가린,(주)엣나인필름,20221222,41.0,14.0,SF,12세이상관람가,7.75,,7.0,2022,12
겨울 이야기,"와이드 릴리즈(주),시네마 뉴원",20230118,22.0,10.0,드라마,전체관람가,7.71,,4.5,2023,01
시간을 꿈꾸는 소녀,"(주)하이하버픽쳐스,(주)영화사 진진",20230111,77.0,9.0,다큐멘터리,12세이상관람가,,,5.67,2023,01
같은 속옷을 입는 두 여자,찬란,20221110,53.0,8.0,드라마,15세이상관람가,7.93,,8.0,2022,11
더 벙커,(주)엔케이컨텐츠,20230323,1.0,8.0,액션,15세이상관람가,,4.2,6.83,2023,03
서유기:저팔계의 반란,초코필름,20230330,1.0,8.0,판타지,15세이상관람가,10.0,,,2023,03
이스케이프: 더블 타겟,주식회사 루믹스미디어,20230315,1.0,8.0,액션,12세이상관람가,4.8,,,2023,03
희수,영화사 정원,20221215,5.0,8.0,드라마,12세이상관람가,8.29,,7.0,2022,12
라인,M&M 인터내셔널,20230125,47.0,6.0,드라마,15세이상관람가,,,6.5,2023,01
베리얼: 라스트 미션,(주)누리픽쳐스,20230320,1.0,1.0,전쟁,15세이상관람가,0.0,,,2023,03
스즈메의 문단속,(주)쇼박스,20230308,,,애니메이션,12세이상관람가,8.45,4.6,7.6,2023,03
존 윅 4,(주)레드아이스 엔터테인먼트,20230412,,,액션,청소년관람불가,8.31,3.7,7.5,2023,04
슈퍼 마리오 브라더스,유니버설픽쳐스인터내셔널 코리아(유),20230426,,,애니메이션,전체관람가,8.35,4.6,6.0,2023,04
리바운드,(주)바른손이앤에이,20230405,,,드라마,12세이상관람가,8.31,,6.8,2023,04
드림,플러스엠 엔터테인먼트,20230426,,,코미디,12세이상관람가,6.79,4.6,5.2,2023,04
더 퍼스트 슬램덩크,(주)넥스트엔터테인먼트월드(NEW),20230104,,,애니메이션,12세이상관람가,9.25,4.5,7.67,2023,01
던전 앤 드래곤: 도적들의 명예,롯데컬처웍스(주)롯데엔터테인먼트,20230329,,,액션,12세관람가,8.22,4.3,6.67,2023,03
킬링 로맨스,롯데컬처웍스(주)롯데엔터테인먼트,20230414,998.0,,코미디,15세이상관람가,7.63,,5.0,2023,04
옥수역귀신,(주)스마일이엔티,20230419,314.0,,공포(호러),15세이상관람가,6.71,,4.75,2023,04
에어,워너브러더스 코리아(주),20230405,656.0,,드라마,15세이상관람가,8.72,4.3,5.33,2023,04
웅남이,씨제이 씨지브이(CJ CGV)(주),20230322,829.0,,코미디,15세이상관람가,7.63,,3.33,2023,03
렌필드,유니버설픽쳐스인터내셔널 코리아(유),20230419,577.0,,코미디,청소년관람불가,7.35,4.0,6.0,2023,04
거울 속 외딴 성,워터홀컴퍼니(주),20230412,335.0,,애니메이션,12세이상관람가,8.53,,6.2,2023,04
소울메이트,(주)넥스트엔터테인먼트월드(NEW),20230315,749.0,,드라마,12세이상관람가,7.97,4.7,6.0,2023,03
파벨만스,(주)씨제이이엔엠,20230322,450.0,,드라마,12세이상관람가,8.81,3.8,8.88,2023,03
치킨래빗: 잃어버린 보물을 찾아서,(주)스튜디오디에이치엘,20230318,234.0,,애니메이션,전체관람가,7.82,4.4,6.0,2023,03
오토라는 남자,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,20230329,371.0,,드라마,12세이상관람가,8.24,4.6,6.0,2023,03
카구야 님은 고백받고 싶어 첫 키스는 끝나지 않아,(주)디스테이션,20230406,107.0,,애니메이션,12세이상관람가,8.46,,,2023,04
라이스보이 슬립스,판씨네마(주),20230419,250.0,,가족,15세이상관람가,8.28,,6.25,2023,04
멍뭉이,(주)키다리스튜디오,20230301,649.0,,드라마,전체관람가,8.13,,5.0,2023,03
무명,(주)콘텐츠판다,20230426,201.0,,스릴러,15세이상관람가,7.67,,6.0,2023,04
아임 히어로 더 파이널,"씨제이포디플렉스 주식회사,CGV ICECON",20230301,146.0,,공연,전체관람가,9.84,,10.0,2023,03
오글리스: 웰컴 투 냄새 마을,(주)박수엔터테인먼트,20230406,256.0,,애니메이션,전체관람가,6.82,,6.0,2023,04
65,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,20230420,462.0,,액션,12세이상관람가,5.59,3.0,4.0,2023,04
에브리씽 에브리웨어 올 앳 원스+,워터홀컴퍼니(주),20230301,199.0,,액션,15세이상관람가,8.91,3.8,8.43,2023,03
곰돌이 푸: 피와 꿀,(주)팝엔터테인먼트,20230406,189.0,,공포(호러),청소년관람불가,4.6,1.8,0.5,2023,04
아머드 사우루스: 기계공룡제국의 침략,트윈플러스파트너스(주),20230420,236.0,,애니메이션,전체관람가,9.04,,5.0,2023,04
"귀멸의 칼날: 상현집결, 그리고 도공 마을로",(주)디스테이션,20230302,410.0,,애니메이션,15세이상관람가,6.76,4.1,,2023,03
엘 카미노,"씨제이 씨지브이(CJ CGV)(주),CGV ICECON",20230329,34.0,,다큐멘터리,전체관람가,,4.2,,2023,03
항구의 니쿠코짱!,트윈플러스파트너스(주),20230427,123.0,,애니메이션,전체관람가,8.0,,6.5,2023,04
오디션,와이드 릴리즈(주),20230419,122.0,,공포(호러),청소년관람불가,6.33,3.7,7.0,2023,04
장기자랑,(주)영화사 진진,20230405,57.0,,다큐멘터리,12세이상관람가,,,6.67,2023,04
나는 여기에 있다,와이드 릴리즈(주),20230412,122.0,,범죄,15세이상관람가,5.84,,2.0,2023,04
다음 소희,트윈플러스파트너스(주),20230208,562.0,,드라마,15세이상관람가,8.72,,6.5,2023,02
이니셰린의 밴시,월트디즈니컴퍼니코리아 유한책임회사,20230315,135.0,,드라마,15세이상관람가,8.3,3.6,8.1,2023,03
아바타: 물의 길,월트디즈니컴퍼니코리아 유한책임회사,20221214,,,액션,12세이상관람가,8.83,4.3,7.67,2022,12
귀를 기울이면,(주)팝엔터테인먼트,20230419,123.0,,멜로/로맨스,전체관람가,9.12,4.9,7.0,2023,04
카운트,(주)씨제이이엔엠,20230222,946.0,,드라마,12세이상관람가,,,5.33,2023,02
더 웨일,(주)스튜디오디에이치엘,20230301,203.0,,드라마,15세이상관람가,8.25,4.2,6.5,2023,03
콜드플레이 뮤직 오브 더 스피어스: 라이브 앳 리버 플레이트,씨제이포디플렉스 주식회사,20230419,74.0,,공연,전체관람가,9.33,,,2023,04
라스트 필름 쇼,"주식회사 블루필름웍스,(주)버킷스튜디오",20230412,36.0,,드라마,전체관람가,8.07,4.5,6.0,2023,04
물안에서,"(주)영화제작전원사 ,(주)콘텐츠판다",20230412,61.0,,드라마,12세이상관람가,6.97,,7.25,2023,04
뮤턴트 이스케이프,주식회사 제이씨엔터웍스,20230405,116.0,,액션,15세이상관람가,4.95,2.2,3.5,2023,04
똑똑똑,유니버설픽쳐스인터내셔널 코리아(유),20230308,472.0,,미스터리,15세이상관람가,6.05,2.7,5.75,2023,03
대외비,플러스엠 엔터테인먼트,20230301,,,범죄,15세이상관람가,6.15,,5.0,2023,03
사랑의 고고학,(주)엣나인필름,20230412,42.0,,드라마,15세이상관람가,6.82,,6.67,2023,04
샷건 웨딩,"와이드 릴리즈(주),(주)제이앤씨미디어그룹",20230329,126.0,,액션,15세이상관람가,,2.6,4.0,2023,03
탄생,"씨제이 씨지브이(CJ CGV)(주),(주)레드아이스 엔터테인먼트",20221130,670.0,,드라마,12세이상관람가,8.15,,6.56,2022,11
피기,해피송,20230426,69.0,,스릴러,15세이상관람가,,3.4,5.0,2023,04
제비,(주)시네마달,20230412,28.0,,드라마,15세이상관람가,,,5.5,2023,04
꼬마돼지 베이브의 바다 대모험,(주)박수엔터테인먼트,20230323,319.0,,애니메이션,전체관람가,4.0,,,2023,03
영웅,(주)씨제이이엔엠,20221221,,,드라마,12세이상관람가,8.4,,6.91,2022,12
애프터썬,"그린나래미디어(주),(주)영화사 안다미로",20230201,64.0,,드라마,12세이상관람가,8.5,3.8,8.5,2023,02
두다다쿵: 후후섬의 비밀,(주)넥스트엔터테인먼트월드(NEW),20230215,514.0,,애니메이션,전체관람가,8.17,,6.0,2023,02
여덟 번째 감각,"(주)플레이그램,(주)영화특별시에스엠씨",20230329,80.0,,멜로/로맨스,15세이상관람가,8.82,,7.0,2023,03
찬란한 나의 복수,영화배급협동조합 씨네소파,20230329,59.0,,드라마,15세이상관람가,8.38,,5.0,2023,03
상견니,"오드,리바이브콘텐츠 주식회사,씨제이 씨지브이(CJ CGV)(주)",20230125,699.0,,드라마,15세이상관람가,7.58,,5.25,2023,01
흐르다,M&M 인터내셔널,20230329,43.0,,드라마,12세이상관람가,0.0,,7.5,2023,03
모나리자와 블러드 문,판씨네마(주),20230322,369.0,,판타지,15세이상관람가,7.01,4.1,5.2,2023,03
자전거 도둑,일미디어,20230426,32.0,,드라마,12세이상관람가,,4.7,10.0,2023,04
TAR 타르,유니버설픽쳐스인터내셔널 코리아(유),20230222,197.0,,드라마,15세이상관람가,7.81,3.2,7.38,2023,02
낭만적 공장,(주)영화사오원,20230419,27.0,,멜로/로맨스,15세이상관람가,7.0,,4.67,2023,04
여섯 개의 밤,㈜인디스토리,20230329,34.0,,드라마,12세이상관람가,8.09,,5.75,2023,03
오늘 출가합니다,(주)트리플픽쳐스,20230405,20.0,902.0,드라마,12세이상관람가,7.2,,6.33,2023,04
플레인,(주)누리픽쳐스,20230315,358.0,901.0,액션,15세이상관람가,7.67,4.3,4.67,2023,03
보이지 않아,(주)무비다이브,20230419,29.0,892.0,드라마,12세이상관람가,8.4,,5.0,2023,04
불멸의 여자,"(주)드림팩트엔터테인먼트,(주)아크메",20230405,22.0,880.0,드라마,15세이상관람가,8.08,,5.5,2023,04
서치 2,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,20230222,868.0,862.0,미스터리,12세이상관람가,8.26,4.4,6.5,2023,02
프로메어,(주)영화사 그램,20221020,63.0,830.0,애니메이션,15세이상관람가,8.61,4.7,6.0,2022,10
로보카폴리 안전교실 교통편,(주)로이비쥬얼,20220919,16.0,748.0,애니메이션,전체관람가,,,,2022,09
치치핑핑의 쿵쿵따 탐험대,(주)에픽캔,20230410,4.0,730.0,공연,전체관람가,,,,2023,04
캐리 러브콘서트 케이팝,씨제이 씨지브이(CJ CGV)(주),20230420,27.0,690.0,공연,전체관람가,0.0,,,2023,04
나의 연인에게,(주)까멜리아이엔티,20230329,27.0,684.0,드라마,15세이상관람가,6.4,,6.33,2023,03
그대 어이가리,(주)영화사 순수,20230308,82.0,666.0,드라마,12세이상관람가,9.43,,6.0,2023,03
어떤 영웅,(주)영화사 진진,20230315,38.0,623.0,드라마,12세이상관람가,7.99,4.2,6.4,2023,03
콜 제인,"(주)누리픽쳐스,(주)영화특별시에스엠씨",20230308,70.0,600.0,드라마,12세이상관람가,8.02,4.0,6.0,2023,03
"블루 서멀, 같은 하늘을 보고 싶어",(주)박수엔터테인먼트,20230329,62.0,591.0,애니메이션,전체관람가,7.0,,5.0,2023,03
바빌론,롯데컬처웍스(주)롯데엔터테인먼트,20230201,852.0,519.0,드라마,청소년관람불가,8.4,3.2,6.86,2023,02
에브리씽 에브리웨어 올 앳 원스,워터홀컴퍼니(주),20221012,620.0,514.0,액션,15세이상관람가,8.8,3.8,8.43,2022,10
6번 칸,"(주)싸이더스,스튜디오 에이드",20230308,41.0,477.0,드라마,15세이상관람가,8.42,4.3,7.17,2023,03
장화신은 고양이: 끝내주는 모험,유니버설픽쳐스인터내셔널 코리아(유),20230104,924.0,433.0,애니메이션,전체관람가,8.39,4.8,6.0,2023,01
차별,(주)디오시네마,20230322,24.0,424.0,다큐멘터리,전체관람가,7.59,,5.33,2023,03
튤립 모양,(주)삼거리픽쳐스,20230419,31.0,423.0,드라마,12세이상관람가,8.11,,7.0,2023,04
밥만 잘 사주는 이상한 이사님 극장판,헤븐리 주식회사,20230412,18.0,398.0,드라마,15세이상관람가,7.5,,,2023,04
샤잠! 신들의 분노,워너브러더스 코리아(주),20230315,799.0,397.0,액션,12세이상관람가,6.94,3.3,4.33,2023,03
2퍼센트,시네마 뉴원,20230427,8.0,361.0,드라마,12세이상관람가,8.22,,2.0,2023,04
메탈리카: 72 시즌스,씨제이포디플렉스 주식회사,20230413,17.0,337.0,공연,12세이상관람가,0.0,,,2023,04
헤어질 결심,(주)씨제이이엔엠,20220629,,278.0,미스터리,15세이상관람가,8.98,3.9,8.73,2022,06
바다 탐험대 옥토넛 육지수호 대작전 : 열대우림을 지켜라!,와이드 릴리즈(주),20230223,284.0,274.0,애니메이션,전체관람가,4.9,,,2023,02
사쿠라,(주)미디어캐슬,20230401,4.0,219.0,드라마,15세이상관람가,,,8.5,2023,04
하룻밤,(주)미디어캐슬,20230416,4.0,208.0,드라마,15세이상관람가,,,5.0,2023,04
살룸의 하이에나,씨네라인월드(주),20230420,5.0,199.0,액션,15세이상관람가,3.5,,7.0,2023,04
롱 플레이스,(주)스튜디오디에이치엘,20230427,20.0,188.0,액션,15세이상관람가,,1.2,4.0,2023,04
천개의 별 이야기 더 시리즈,스튜디오엘론(주),20230419,18.0,185.0,드라마,12세이상관람가,10.0,,,2023,04
나의 이웃 히틀러,주식회사 루믹스미디어,20230330,5.0,158.0,코미디,12세이상관람가,9.04,,,2023,03
틸,유니버설픽쳐스인터내셔널 코리아(유),20230322,122.0,138.0,드라마,12세이상관람가,7.43,4.1,6.0,2023,03
앤트맨과 와스프: 퀀텀매니아,월트디즈니컴퍼니코리아 유한책임회사,20230215,,131.0,액션,12세이상관람가,6.81,3.2,5.0,2023,02
스톰 보이,주식회사 블루필름웍스,20230216,44.0,130.0,가족,전체관람가,7.14,4.5,6.0,2023,02
포커페이스,"와이드 릴리즈(주),(주)제이앤씨미디어그룹",20230323,51.0,104.0,범죄,15세이상관람가,4.27,2.8,3.5,2023,03
라스트 버스,주식회사 블루필름웍스,20230209,27.0,91.0,드라마,12세이상관람가,7.92,4.2,5.0,2023,02
겨울 이야기,"와이드 릴리즈(주),시네마 뉴원",20230118,22.0,74.0,드라마,전체관람가,7.71,,4.5,2023,01
원피스 필름 레드,(주)넥스트엔터테인먼트월드(NEW),20221130,550.0,65.0,애니메이션,12세이상관람가,6.86,4.0,6.0,2022,11
마루이 비디오,"씨제이 씨지브이(CJ CGV)(주),(주)케이티알파",20230222,284.0,63.0,미스터리,15세이상관람가,6.2,,5.33,2023,02
솔라 플라워,(주)스토리제이,20230406,5.0,52.0,멜로/로맨스,15세이상관람가,6.06,,,2023,04
유령,(주)씨제이이엔엠,20230118,,48.0,액션,15세이상관람가,6.87,,6.25,2023,01
팔로우드,(주)영화사오원,20230322,51.0,44.0,공포(호러),15세이상관람가,5.6,3.6,1.0,2023,03
이태석,"THE 픽쳐스,주식회사 블루필름웍스",20221229,100.0,36.0,다큐멘터리,전체관람가,9.29,,4.0,2022,12
피터 본 칸트,(주)드림팩트엔터테인먼트,20230215,29.0,34.0,멜로/로맨스,15세이상관람가,7.44,,7.0,2023,02
도희야,(주)씨맥스커뮤니케이션즈,20230407,5.0,32.0,성인물(에로),청소년관람불가,7.35,,6.13,2023,04
블라스트: 폭탄제거반,주식회사 풍경소리,20230316,5.0,32.0,액션,12세이상관람가,4.0,,,2023,03
머슴바울,"(주)드림팩트엔터테인먼트,기독교대한감리회",20221124,23.0,23.0,사극,전체관람가,7.5,,,2022,11
"안녕, 소중한 사람",(주)티캐스트,20230208,37.0,22.0,드라마,15세이상관람가,7.88,,6.75,2023,02
나는 마을 방과후 교사입니다,(주)스튜디오그레인풀,20230111,23.0,20.0,다큐멘터리,전체관람가,8.81,,6.75,2023,01
어쩌면 우린 헤어졌는지 모른다,(주)영화특별시에스엠씨,20230208,333.0,18.0,드라마,12세이상관람가,7.97,,5.5,2023,02
탑,"(주)영화제작전원사 ,(주)콘텐츠판다",20221103,57.0,13.0,드라마,15세이상관람가,,,8.5,2022,11
컨버세이션,필름다빈,20230223,21.0,12.0,기타,12세이상관람가,,,7.0,2023,02
페르시아어 수업,(주)영화사 진진,20221215,40.0,11.0,드라마,15세이상관람가,8.23,4.7,6.33,2022,12
희수,영화사 정원,20221215,5.0,11.0,드라마,12세이상관람가,8.29,,7.0,2022,12
스마일 어게인,(주)투케이에스픽처스,20230425,1.0,8.0,액션,15세이상관람가,5.82,,,2023,04
어메이징 모리스,(주)블루라벨픽쳐스,20230215,559.0,8.0,애니메이션,전체관람가,7.91,,5.5,2023,02
미녀와 야수: 마법에 걸린 왕자,"(주)인터파크,예지림엔터테인먼트,(주)띵크",20230222,217.0,6.0,애니메이션,전체관람가,7.15,,,2023,02
"오늘 밤, 세계에서 이 사랑이 사라진다 해도","(주)바이포엠스튜디오,홀리가든",20221130,258.0,5.0,멜로/로맨스,12세이상관람가,7.94,4.9,5.33,2022,11
